backend,kv_len,q_len,median_latency_ms,std_latency_ms,median_peak_memory_mb,num_heads,head_dim,num_runs
flash,128,1,0.032,0.003,9.63,16,64,5
mem_efficient,128,1,0.027,0.001,9.63,16,64,5
math,128,1,0.095,0.004,11.14,16,64,5
flash,256,1,0.033,0.001,10.13,16,64,5
mem_efficient,256,1,0.029,0.0,10.13,16,64,5
math,256,1,0.094,0.006,13.15,16,64,5
flash,512,1,0.046,0.001,11.14,16,64,5
mem_efficient,512,1,0.044,0.001,11.13,16,64,5
math,512,1,0.138,0.001,17.17,16,64,5
flash,1024,1,0.06,0.002,13.14,16,64,5
mem_efficient,1024,1,0.069,0.001,13.13,16,64,5
math,1024,1,0.239,0.002,25.2,16,64,5
flash,1536,1,0.075,0.007,16.01,16,64,5
mem_efficient,1536,1,0.092,0.002,16.0,16,64,5
math,1536,1,0.34,0.001,34.1,16,64,5
flash,2048,1,0.086,0.007,17.14,16,64,5
mem_efficient,2048,1,0.114,0.001,17.13,16,64,5
math,2048,1,0.437,0.002,41.26,16,64,5
