backend,kv_len,q_len,median_latency_ms,std_latency_ms,median_peak_memory_mb,num_heads,num_kv_heads,head_dim,num_runs
flash,128,1,0.054,0.002,9.63,16,8,128,3
mem_efficient,128,1,0.043,0.003,9.63,16,8,128,3
math,128,1,0.11,0.0,12.65,16,8,128,3
flash,256,1,0.069,0.001,11.15,16,8,128,3
mem_efficient,256,1,0.064,0.001,11.13,16,8,128,3
math,256,1,0.17,0.001,17.16,16,8,128,3
flash,512,1,0.107,0.001,14.15,16,8,128,3
mem_efficient,512,1,0.103,0.001,14.13,16,8,128,3
math,512,1,0.289,0.001,26.18,16,8,128,3
flash,1024,1,0.177,0.004,20.15,16,8,128,3
mem_efficient,1024,1,0.175,0.001,20.13,16,8,128,3
math,1024,1,0.529,0.0,44.21,16,8,128,3
flash,1536,1,0.246,0.001,26.15,16,8,128,3
mem_efficient,1536,1,0.245,0.001,26.13,16,8,128,3
math,1536,1,0.778,0.002,62.24,16,8,128,3
flash,2048,1,0.314,0.092,32.15,16,8,128,3
mem_efficient,2048,1,0.313,0.001,32.13,16,8,128,3
math,2048,1,1.009,0.001,80.27,16,8,128,3
